a_idx,b_idx,a_base_id,b_base_id,R_transfer,R_random_layers,R_own_top_layers_upper_bound,C_AB,same_category,edit_size_diff,problem_length_diff,cluster_group
40,58,gsm8k_00464,gsm8k_00750,0.09091973916557558,0.04626975510842765,0.10584640073246564,-0.45843363001937365,False,1,1,gsm8k_00750
61,20,gsm8k_00793,gsm8k_00189,-0.03372089786080706,-0.040348672037685544,-0.03372089786080706,0.3373325881958502,True,1,2,gsm8k_00189
80,67,gsm8k_00988,gsm8k_00848,0.6240414300206931,0.9999993508065461,0.5339079011148415,0.13663028356901197,False,0,6,gsm8k_00848
89,15,gsm8k_01114,gsm8k_00159,0.14285733102858741,0.7142817505631256,0.7142817505631256,-0.16318314711586807,True,1,14,gsm8k_00159
17,21,gsm8k_00169,gsm8k_00191,-0.07275509773781186,-0.0763839775796502,-0.07275509773781186,0.998692091374596,True,1,7,gsm8k_00191
101,31,gsm8k_01269,gsm8k_00395,0.1296985206663016,0.1433506176468987,0.11582326394668187,0.92078268565123,True,4,4,gsm8k_00395
18,78,gsm8k_00176,gsm8k_00967,-0.3481844365957233,-0.28104837261903726,0.8614417286148671,-0.509511320624254,True,1,3,gsm8k_00967
52,0,gsm8k_00652,gsm8k_00002,0.04000210123535727,1.5601865142945097,1.372401344396271,-0.22385507446250347,True,0,1,gsm8k_00002
22,69,gsm8k_00198,gsm8k_00877,1.514099548806957,1.7762383214541808,1.7762383214541808,0.6414073540382417,True,1,7,gsm8k_00877
21,75,gsm8k_00191,gsm8k_00952,0.26895220481212295,0.4225484962388999,0.31512471493482275,-0.11961884721702637,False,4,4,gsm8k_00952
10,50,gsm8k_00102,gsm8k_00635,0.034353343673181755,0.0519374514000125,-3.6330291325604414e-05,0.2248395534769098,True,3,6,gsm8k_00635
61,52,gsm8k_00793,gsm8k_00652,-0.9999397813053758,-1.1252355509932592,-0.13714050556418725,-0.19580156823304953,False,2,16,gsm8k_00652
5,73,gsm8k_00044,gsm8k_00934,0.0,0.0,0.0,0.7115795335901183,False,1,3,gsm8k_00934
93,25,gsm8k_01165,gsm8k_00242,-0.00732868493036417,0.03513184872847865,-0.04153710087417449,0.9516853653962691,True,0,7,gsm8k_00242
31,99,gsm8k_00395,gsm8k_01217,-0.999985063056876,-1.0979949702909548,0.5802701108124679,-0.5089313927057219,True,3,10,gsm8k_01217
26,46,gsm8k_00260,gsm8k_00576,-0.025154426021418066,-0.15317654064449812,-0.10399990579439847,0.48676156549194904,True,1,30,gsm8k_00576
52,98,gsm8k_00652,gsm8k_01203,0.7068373104279261,-0.3430316153070428,1.3633279385731334,-0.04186322924519759,True,2,8,gsm8k_01203
38,1,gsm8k_00443,gsm8k_00008,-0.0311346728970504,0.0005473784568213198,-0.04629978710642545,0.6856831472436982,True,5,22,gsm8k_00008
24,7,gsm8k_00236,gsm8k_00051,0.01156213615278795,0.01156213615278795,0.06601031205147707,-0.5287640297101698,True,1,17,gsm8k_00051
22,100,gsm8k_00198,gsm8k_01218,-0.4397971960779818,-0.22014354844210585,-0.10117919394072512,-0.42930169649401334,True,5,23,gsm8k_01218
25,56,gsm8k_00242,gsm8k_00716,-0.4283280683507472,1.1305097073786798,1.003192813112164,-0.27935758201749983,True,2,8,gsm8k_00716
101,92,gsm8k_01269,gsm8k_01140,0.16884050499297903,0.13582278853687285,0.05512671098754826,-0.7662927419598031,True,0,12,gsm8k_01140
54,26,gsm8k_00681,gsm8k_00260,2.845469221380539,2.0820375971674494,2.845469221380539,0.2446129747242659,False,7,2,gsm8k_00260
45,40,gsm8k_00564,gsm8k_00464,4.744770631164361,5.174319558219835,4.744770631164361,0.6666848246397215,False,3,0,gsm8k_00464
3,55,gsm8k_00034,gsm8k_00692,0.40547879518866403,-1.9493263523216853,0.4228422603384792,0.6166805481910717,True,1,49,gsm8k_00692
96,91,gsm8k_01198,gsm8k_01137,0.06699560358806603,0.09466891309652431,0.14175999278691848,-0.506464947054399,False,20,1,gsm8k_01137
87,80,gsm8k_01075,gsm8k_00988,-0.09199468926377771,-0.06545798673017138,0.07244903525971456,-0.0022957818022396066,False,0,8,gsm8k_00988
37,71,gsm8k_00427,gsm8k_00900,-0.05897655280311223,-0.16980248853251156,0.7496325279943601,-0.4605007614143481,False,10,4,gsm8k_00900
99,60,gsm8k_01217,gsm8k_00790,-0.09250429777335117,-0.09149549557181849,-0.4069482622252246,-0.5803175020314785,False,3,3,gsm8k_00790
49,42,gsm8k_00601,gsm8k_00499,-0.01229568620773713,0.03151287945569999,-0.001692776692749474,-0.8017171353860174,True,2,2,gsm8k_00499
89,9,gsm8k_01114,gsm8k_00095,0.19794687704504757,-0.008240833060793394,0.19794687704504757,0.9947946538489043,False,0,0,gsm8k_00095
92,84,gsm8k_01140,gsm8k_01026,-0.03403854751505596,0.007495853423893189,-0.19563086678541206,0.7208102212723427,False,1,20,gsm8k_01026
3,39,gsm8k_00034,gsm8k_00450,-0.18206354269630465,-1.2719639577787287,-0.14049424483203762,0.8884725409013431,False,2,42,gsm8k_00450
2,18,gsm8k_00021,gsm8k_00176,-1.7898789628065226,-1.8786751850022763,1.5773925285078416,-0.21403885998854247,True,11,4,gsm8k_00176
9,77,gsm8k_00095,gsm8k_00956,-0.36862562485249484,-0.26058580895863914,-0.36862562485249484,-0.45858737381888404,True,1,9,gsm8k_00956
87,68,gsm8k_01075,gsm8k_00872,1.3690018902443717,0.3113690000403698,1.6964392247050768,0.20205123531133504,True,7,12,gsm8k_00872
88,32,gsm8k_01105,gsm8k_00404,-0.8355036034704109,-1.0529346316091235,0.02085936199238546,0.12311327677170122,False,0,12,gsm8k_00404
57,79,gsm8k_00734,gsm8k_00973,0.014225540845868722,0.024039759490177275,0.05438900485634737,0.8998690774407477,True,6,31,gsm8k_00973
47,12,gsm8k_00577,gsm8k_00125,0.3257101833634088,0.35063891942256964,0.35063891942256964,-0.5881755588157916,False,4,18,gsm8k_00125
101,87,gsm8k_01269,gsm8k_01075,1.0627022195865836,3.125575394256449,4.475642329126888,0.09626546181163682,True,2,2,gsm8k_01075
101,36,gsm8k_01269,gsm8k_00421,-1.5910277242187447,0.08865515940040616,-1.6623596542996386,0.3034110239327052,False,2,9,gsm8k_00421
89,17,gsm8k_01114,gsm8k_00169,-0.335096777976539,0.013524135659101736,-0.335096777976539,0.9967652105420173,False,1,6,gsm8k_00169
93,64,gsm8k_01165,gsm8k_00814,0.1668672269260844,0.5274748089240876,0.6789150156737572,-0.7387330142904401,True,2,9,gsm8k_00814
15,27,gsm8k_00159,gsm8k_00266,0.600812881416361,0.9999674617238656,0.9999674617238656,-0.6513788334879423,False,2,20,gsm8k_00266
32,74,gsm8k_00404,gsm8k_00942,1.561340742224854,-1.4302058605425123,2.3145076745517703,-0.5799223067258724,True,4,8,gsm8k_00942
54,45,gsm8k_00681,gsm8k_00564,0.0,0.0,0.0,-0.05674991256762293,False,9,6,gsm8k_00564
101,61,gsm8k_01269,gsm8k_00793,3.221550096945824,2.767086362909477,3.221550096945824,0.4098116295743435,False,0,6,gsm8k_00793
51,38,gsm8k_00644,gsm8k_00443,0.2852284907591684,0.14900666754296568,0.7305965014266369,0.6310553979442596,False,3,20,gsm8k_00443
3,51,gsm8k_00034,gsm8k_00644,-0.06245473984203879,1.2553182080430918,1.4745513604313916,-0.6804486577321086,False,3,12,gsm8k_00644
50,62,gsm8k_00635,gsm8k_00808,0.014755108303643438,0.18435145552333493,0.04085869225725626,0.7665114974689955,False,3,10,gsm8k_00808
88,65,gsm8k_01105,gsm8k_00818,-1.1346710414196688,0.030593223169934482,-2.030714249254078,-0.14962850696163627,False,1,6,gsm8k_00818
11,33,gsm8k_00122,gsm8k_00409,-0.19968654750043793,-0.11268206781566696,-0.04053023058141109,-0.18746923637699675,True,2,3,gsm8k_00409
92,5,gsm8k_01140,gsm8k_00044,3.8604971532967003,-1.3643579167653965,4.696375101418676,0.6721905695648838,False,3,14,gsm8k_00044
95,53,gsm8k_01182,gsm8k_00680,-0.835792709934066,-1.2029294197196219,-0.4246440215501682,0.9652549178177758,True,1,17,gsm8k_00680
99,97,gsm8k_01217,gsm8k_01199,-0.5771007242035388,-0.9557953768598224,-0.11597428308884919,0.6475070617823628,True,4,68,gsm8k_01199
41,49,gsm8k_00475,gsm8k_00601,-9.873918182970215,-11.477195587402264,-1.5448355433484033,-0.09682379092140579,False,3,34,gsm8k_00601
